Time,Option_Description_orig,Expiration_Date,Strike_Price,Option_Type,TradeQuantity,Trade_Price,Option_Bid,Option_Ask,Delta,IV,Underlying_Price,Condition,Exchange,Aggressor
2025-05-23 12:28:04,15 AUG 25 200 C,2025-08-15,200.0,C,25,6.03,5.9,6.15,0.26,0.5821999999999999,159.125,Spread,AMEX,Between Bid/Ask
2025-05-23 12:28:04,15 AUG 25 200 C,2025-08-15,200.0,C,1,6.08,5.9,6.15,0.26,0.5842,159.125,Spread,NYSE,Between Bid/Ask
2025-05-23 12:28:04,20 JUN 25 180 C,2025-06-20,180.0,C,2,3.19,3.1,3.25,0.24,0.5532,159.125,Spread,NYSE,Between Bid/Ask
2025-05-23 12:28:04,15 AUG 25 200 C,2025-08-15,200.0,C,21,6.04,5.9,6.15,0.26,0.5826,159.125,Spread,BEST,Between Bid/Ask
2025-05-23 12:28:04,15 AUG 25 200 C,2025-08-15,200.0,C,21,6.04,5.9,6.15,0.26,0.5826,159.125,Spread,BEST,Between Bid/Ask
2025-05-23 12:28:04,20 JUN 25 180 C,2025-06-20,180.0,C,42,3.16,3.1,3.25,0.24,0.551,159.125,Spread,BEST,Between Bid/Ask
2025-05-23 12:28:04,20 JUN 25 180 C,2025-06-20,180.0,C,42,3.16,3.1,3.25,0.24,0.551,159.125,Spread,BEST,Between Bid/Ask
2025-05-23 12:28:04,15 AUG 25 200 C,2025-08-15,200.0,C,22,6.04,5.9,6.15,0.26,0.5826,159.125,Spread,CBOE,Between Bid/Ask
2025-05-23 12:28:04,20 JUN 25 180 C,2025-06-20,180.0,C,44,3.16,3.1,3.25,0.24,0.551,159.125,Spread,CBOE,Between Bid/Ask
2025-05-23 12:28:04,15 AUG 25 200 C,2025-08-15,200.0,C,1,6.03,5.9,6.15,0.26,0.5821999999999999,159.125,Spread,BEST,Between Bid/Ask
2025-05-23 12:28:04,15 AUG 25 200 C,2025-08-15,200.0,C,13,6.04,5.9,6.15,0.26,0.5826,159.125,Spread,BEST,Between Bid/Ask
2025-05-23 12:28:04,15 AUG 25 200 C,2025-08-15,200.0,C,20,6.08,5.9,6.15,0.26,0.5842,159.125,Spread,PHLX,Between Bid/Ask
2025-05-23 12:28:04,20 JUN 25 180 C,2025-06-20,180.0,C,2,3.16,3.1,3.25,0.24,0.551,159.125,Spread,BEST,Between Bid/Ask
2025-05-23 12:28:04,20 JUN 25 180 C,2025-06-20,180.0,C,26,3.16,3.1,3.25,0.24,0.551,159.125,Spread,BEST,Between Bid/Ask
2025-05-23 12:28:04,20 JUN 25 180 C,2025-06-20,180.0,C,40,3.18,3.1,3.25,0.24,0.5525,159.125,Spread,PHLX,Between Bid/Ask
2025-05-23 12:28:04,15 AUG 25 200 C,2025-08-15,200.0,C,12,6.04,5.9,6.15,0.26,0.5826,159.125,Spread,C2,Between Bid/Ask
2025-05-23 12:28:04,15 AUG 25 200 C,2025-08-15,200.0,C,5,6.04,5.9,6.15,0.26,0.5826,159.125,Spread,C2,Between Bid/Ask
2025-05-23 12:28:04,15 AUG 25 200 C,2025-08-15,200.0,C,16,6.08,5.9,6.15,0.26,0.5842,159.125,Spread,AMEX,Between Bid/Ask
2025-05-23 12:28:04,15 AUG 25 200 C,2025-08-15,200.0,C,5,6.08,5.9,6.15,0.26,0.5842,159.125,Spread,AMEX,Between Bid/Ask
2025-05-23 12:28:04,20 JUN 25 180 C,2025-06-20,180.0,C,24,3.16,3.1,3.25,0.24,0.551,159.125,Spread,C2,Between Bid/Ask
2025-05-23 12:28:04,20 JUN 25 180 C,2025-06-20,180.0,C,10,3.16,3.1,3.25,0.24,0.551,159.125,Spread,C2,Between Bid/Ask
2025-05-23 12:28:04,20 JUN 25 180 C,2025-06-20,180.0,C,32,3.18,3.1,3.25,0.24,0.5525,159.125,Spread,AMEX,Between Bid/Ask
2025-05-23 12:28:04,20 JUN 25 180 C,2025-06-20,180.0,C,10,3.18,3.1,3.25,0.24,0.5525,159.125,Spread,AMEX,Between Bid/Ask
2025-05-23 12:28:06,20 JUN 25 180 C,2025-06-20,180.0,C,39,3.15,3.1,3.25,0.24,0.5503,159.125,Spread,AMEX,Between Bid/Ask
2025-05-23 12:28:06,20 JUN 25 180 C,2025-06-20,180.0,C,39,3.14,3.1,3.25,0.24,0.5496,159.125,Spread,AMEX,Between Bid/Ask
2025-05-23 12:28:06,15 AUG 25 200 C,2025-08-15,200.0,C,39,6.04,5.9,6.15,0.26,0.5826,159.125,Spread,AMEX,Between Bid/Ask
2025-05-23 12:28:06,20 JUN 25 180 C,2025-06-20,180.0,C,86,3.17,3.1,3.25,0.24,0.5518,159.125,Spread,ISE,Between Bid/Ask
2025-05-23 12:28:06,20 JUN 25 180 C,2025-06-20,180.0,C,40,3.17,3.1,3.25,0.24,0.5518,159.125,Spread,PHLX,Between Bid/Ask
2025-05-23 12:28:06,15 AUG 25 200 C,2025-08-15,200.0,C,43,6.09,5.9,6.15,0.26,0.5846,159.125,Spread,ISE,Between Bid/Ask
2025-05-23 12:28:06,15 AUG 25 200 C,2025-08-15,200.0,C,20,6.08,5.9,6.15,0.26,0.5842,159.125,Spread,PHLX,Between Bid/Ask
2025-05-23 12:28:06,20 JUN 25 180 C,2025-06-20,180.0,C,44,3.15,3.1,3.25,0.24,0.5503,159.125,Spread,AMEX,Between Bid/Ask
2025-05-23 12:28:06,20 JUN 25 180 C,2025-06-20,180.0,C,44,3.14,3.1,3.25,0.24,0.5496,159.125,Spread,AMEX,Between Bid/Ask
2025-05-23 12:28:06,20 JUN 25 180 C,2025-06-20,180.0,C,86,3.15,3.1,3.25,0.24,0.5503,159.125,Spread,BEST,Between Bid/Ask
2025-05-23 12:28:06,20 JUN 25 180 C,2025-06-20,180.0,C,90,3.15,3.1,3.25,0.24,0.5503,159.125,Spread,C2,Between Bid/Ask
2025-05-23 12:28:06,20 JUN 25 180 C,2025-06-20,180.0,C,86,3.15,3.1,3.25,0.24,0.5503,159.125,Spread,CBOE,Between Bid/Ask
2025-05-23 12:28:06,15 AUG 25 200 C,2025-08-15,200.0,C,44,6.04,5.9,6.15,0.26,0.5826,159.125,Spread,AMEX,Between Bid/Ask
2025-05-23 12:28:06,15 AUG 25 200 C,2025-08-15,200.0,C,43,6.05,5.9,6.15,0.26,0.583,159.125,Spread,BEST,Between Bid/Ask
2025-05-23 12:28:06,15 AUG 25 200 C,2025-08-15,200.0,C,45,6.05,5.9,6.15,0.26,0.583,159.125,Spread,C2,Between Bid/Ask
2025-05-23 12:28:06,15 AUG 25 200 C,2025-08-15,200.0,C,43,6.05,5.9,6.15,0.26,0.583,159.125,Spread,CBOE,Between Bid/Ask
2025-05-23 12:28:06,15 AUG 25 200 C,2025-08-15,200.0,C,21,6.05,5.9,6.15,0.26,0.583,159.125,Spread,BEST,Between Bid/Ask
2025-05-23 12:28:06,20 JUN 25 180 C,2025-06-20,180.0,C,42,3.15,3.1,3.25,0.24,0.5503,159.125,Spread,BEST,Between Bid/Ask
2025-05-23 12:28:06,15 AUG 25 200 C,2025-08-15,200.0,C,20,6.09,5.9,6.15,0.26,0.5846,159.125,Spread,PHLX,Between Bid/Ask
2025-05-23 12:28:06,15 AUG 25 200 C,2025-08-15,200.0,C,31,6.05,5.9,6.15,0.26,0.583,159.125,Spread,CBOE,Between Bid/Ask
2025-05-23 12:28:06,20 JUN 25 180 C,2025-06-20,180.0,C,40,3.17,3.1,3.25,0.24,0.5518,159.125,Spread,PHLX,Between Bid/Ask
2025-05-23 12:28:06,20 JUN 25 180 C,2025-06-20,180.0,C,62,3.15,3.1,3.25,0.24,0.5503,159.125,Spread,CBOE,Between Bid/Ask
2025-05-23 12:28:06,15 AUG 25 200 C,2025-08-15,200.0,C,43,6.09,5.9,6.15,0.26,0.5846,159.125,Spread,NYSE,Between Bid/Ask
2025-05-23 12:28:06,15 AUG 25 200 C,2025-08-15,200.0,C,16,6.15,5.9,6.15,0.26,0.5870000000000001,159.125,Spread,BOX,Buyer (At Ask)
2025-05-23 12:28:06,20 JUN 25 180 C,2025-06-20,180.0,C,86,3.17,3.1,3.25,0.24,0.5518,159.125,Spread,NYSE,Between Bid/Ask
2025-05-23 12:28:06,20 JUN 25 180 C,2025-06-20,180.0,C,32,3.2,3.1,3.25,0.24,0.5539999999999999,159.125,Spread,BOX,Between Bid/Ask
2025-05-23 12:28:07,30 MAY 25 155 P,2025-05-30,155.0,P,1,3.09,3.05,3.2,-0.35,0.5626,159.125,,PHLX,Between Bid/Ask
2025-05-23 12:28:14,15 AUG 25 210 C,2025-08-15,210.0,C,1,4.43,4.3,4.65,0.2,0.579,159.125,,PHLX,Between Bid/Ask
2025-05-23 12:28:16,20 JUN 25 180 C,2025-06-20,180.0,C,19,3.1,3.05,3.2,0.24,0.5466,159.125,,BEST,Between Bid/Ask
2025-05-23 12:28:21,15 AUG 25 200 C,2025-08-15,200.0,C,13,6.09,5.9,6.15,0.26,0.5846,159.125,Spread,PHLX,Between Bid/Ask
2025-05-23 12:28:21,20 JUN 25 180 C,2025-06-20,180.0,C,26,3.17,3.1,3.25,0.24,0.5518,159.125,Spread,PHLX,Between Bid/Ask
2025-05-23 12:28:22,30 MAY 25 150 P,2025-05-30,150.0,P,5,1.6,1.48,1.71,-0.21,0.5687,159.125,Spread,CBOE,Between Bid/Ask
2025-05-23 12:28:22,30 MAY 25 144 P,2025-05-30,144.0,P,5,0.65,0.52,0.79,-0.1,0.5852,159.125,Spread,CBOE,Between Bid/Ask
2025-05-23 12:28:25,15 AUG 25 200 C,2025-08-15,200.0,C,17,6.07,5.95,6.15,0.26,0.5838,159.125,Spread,BEST,Between Bid/Ask
2025-05-23 12:28:25,20 JUN 25 180 C,2025-06-20,180.0,C,34,3.16,3.1,3.25,0.24,0.551,159.125,Spread,BEST,Between Bid/Ask
2025-05-23 12:28:25,15 AUG 25 200 C,2025-08-15,200.0,C,31,6.06,5.95,6.15,0.26,0.5834,159.125,Spread,AMEX,Between Bid/Ask
2025-05-23 12:28:25,20 JUN 25 180 C,2025-06-20,180.0,C,31,3.15,3.1,3.25,0.24,0.5503,159.125,Spread,AMEX,Between Bid/Ask
2025-05-23 12:28:25,20 JUN 25 180 C,2025-06-20,180.0,C,31,3.16,3.1,3.25,0.24,0.551,159.125,Spread,AMEX,Between Bid/Ask
2025-05-23 12:28:25,20 JUN 25 160 C,2025-06-20,160.0,C,6,9.7,9.6,9.7,0.52,0.5635,159.125,,NYSE,Buyer (At Ask)
2025-05-23 12:28:25,20 JUN 25 160 C,2025-06-20,160.0,C,1,9.7,9.7,9.9,0.52,0.5635,159.125,,AMEX,Seller (At Bid)
2025-05-23 12:28:25,20 JUN 25 160 C,2025-06-20,160.0,C,7,9.7,9.7,9.75,0.52,0.5635,159.125,,PHLX,Seller (At Bid)
2025-05-23 12:28:25,20 JUN 25 160 C,2025-06-20,160.0,C,5,9.7,9.7,9.9,0.52,0.5635,159.125,,CBOE,Seller (At Bid)
2025-05-23 12:28:25,20 JUN 25 160 C,2025-06-20,160.0,C,1,9.7,9.7,9.9,0.52,0.5635,159.125,,CBOE,Seller (At Bid)
2025-05-23 12:28:25,20 JUN 25 160 C,2025-06-20,160.0,C,1,9.7,9.7,9.9,0.52,0.5635,159.125,,CBOE,Seller (At Bid)
2025-05-23 12:28:25,20 JUN 25 160 C,2025-06-20,160.0,C,11,9.7,9.7,9.9,0.52,0.5635,159.125,,CBOE,Seller (At Bid)
2025-05-23 12:28:29,15 AUG 25 200 C,2025-08-15,200.0,C,47,6.05,5.95,6.15,0.26,0.583,159.125,Spread,BEST,Between Bid/Ask
2025-05-23 12:28:29,15 AUG 25 200 C,2025-08-15,200.0,C,48,6.05,5.95,6.15,0.26,0.583,159.125,Spread,BEST,Between Bid/Ask
2025-05-23 12:28:29,20 JUN 25 180 C,2025-06-20,180.0,C,94,3.15,3.1,3.25,0.24,0.5503,159.125,Spread,BEST,Between Bid/Ask
2025-05-23 12:28:29,20 JUN 25 180 C,2025-06-20,180.0,C,96,3.15,3.1,3.25,0.24,0.5503,159.125,Spread,BEST,Between Bid/Ask
2025-05-23 12:28:29,15 AUG 25 200 C,2025-08-15,200.0,C,49,6.08,5.95,6.15,0.26,0.5842,159.125,Spread,PHLX,Between Bid/Ask
2025-05-23 12:28:29,20 JUN 25 180 C,2025-06-20,180.0,C,98,3.17,3.1,3.25,0.24,0.5518,159.125,Spread,PHLX,Between Bid/Ask
2025-05-23 12:28:29,15 AUG 25 200 C,2025-08-15,200.0,C,35,6.06,5.95,6.15,0.26,0.5834,159.125,Spread,CBOE,Between Bid/Ask
2025-05-23 12:28:29,20 JUN 25 180 C,2025-06-20,180.0,C,70,3.16,3.1,3.25,0.24,0.551,159.125,Spread,CBOE,Between Bid/Ask
2025-05-23 12:28:29,15 AUG 25 200 C,2025-08-15,200.0,C,12,6.06,5.95,6.15,0.26,0.5834,159.125,Spread,BEST,Between Bid/Ask
2025-05-23 12:28:29,20 JUN 25 180 C,2025-06-20,180.0,C,24,3.16,3.1,3.25,0.24,0.551,159.125,Spread,BEST,Between Bid/Ask
2025-05-23 12:28:50,6 JUN 25 185 C,2025-06-06,185.0,C,1,0.74,0.74,0.77,0.09,0.5562,159.125,,BEST,Seller (At Bid)
2025-05-23 12:28:56,15 AUG 25 150 C,2025-08-15,150.0,C,1,23.85,23.75,23.85,0.64,0.6222,159.125,,NYSE,Buyer (At Ask)
2025-05-23 12:29:03,30 MAY 25 177.5 C,2025-05-30,177.5,C,1,0.5,0.41,0.5,0.09,0.5605,159.19,,BEST,Buyer (At Ask)
2025-05-23 12:29:10,27 JUN 25 150 C,2025-06-27,150.0,C,2,16.65,16.4,16.9,0.67,0.5852,159.19,,CBOE,Between Bid/Ask
2025-05-23 12:29:10,27 JUN 25 150 C,2025-06-27,150.0,C,2,16.65,16.4,16.9,0.67,0.5852,159.19,,CBOE,Between Bid/Ask
2025-05-23 12:29:18,19 SEP 25 170 C,2025-09-19,170.0,C,1,17.62,17.45,17.75,0.5,0.5882000000000001,159.19,Spread,BEST,Between Bid/Ask
2025-05-23 12:29:18,19 SEP 25 190 C,2025-09-19,190.0,C,1,11.1,11.0,11.2,0.37,0.5764,159.19,Spread,BEST,Between Bid/Ask
2025-05-23 12:29:22,20 JUN 25 180 C,2025-06-20,180.0,C,1,3.19,3.1,3.2,0.24,0.5521,159.19,,ISE,Between Bid/Ask
2025-05-23 12:29:31,30 MAY 25 149 P,2025-05-30,149.0,P,1,1.37,1.16,1.48,-0.19,0.5699000000000001,159.19,,PHLX,Between Bid/Ask
2025-05-23 12:29:45,30 MAY 25 130 P,2025-05-30,130.0,P,1,0.12,0.07,1.0,-0.02,0.7245,159.19,,BEST,Between Bid/Ask
2025-05-23 12:29:49,30 MAY 25 145 P,2025-05-30,145.0,P,2,0.87,0.54,1.2,-0.12,0.6081,159.19,Spread,BEST,Between Bid/Ask
2025-05-23 12:29:49,30 MAY 25 143 P,2025-05-30,143.0,P,1,0.69,0.51,0.88,-0.1,0.6268,159.19,Spread,BEST,Between Bid/Ask
2025-05-23 12:29:49,30 MAY 25 148 P,2025-05-30,148.0,P,1,1.12,0.96,1.29,-0.16,0.5608,159.19,Spread,BEST,Between Bid/Ask
